Waktu,Pengirim,Pesan
14/1/2026, 09.48.01,Sheva,"yaa"
14/1/2026, 09.48.11,Sheva,"halo"
14/1/2026, 09.48.21,Sheva,"iya"
14/1/2026, 09.49.01,Sheva,"yaa"
14/1/2026, 09.49.07,Saya,"gimana ganteng"
14/1/2026, 09.51.15,Saya,"iya gimana ganteng"
14/1/2026, 09.52.29,Saya,"p"
14/1/2026, 09.53.37,Saya,"gimana ganteng"
14/1/2026, 09.53.46,Saya,"apa"
14/1/2026, 09.55.21,Saya,"iyaa"
14/1/2026, 09.56.55,Saya,"halo ganteng"
14/1/2026, 10.01.06,Sheva,"masuk ga"
14/1/2026, 10.01.13,Saya,"iya masuk"
14/1/2026, 10.01.28,Saya,"engirim pesan ke WhatsApp: 6285819914356@s.whatsapp.net ❌ API Chat Error: Unexpected non-whitespace character after JSON at position 4 (line 1 column 5)  POST /api/chat 500 in 597ms  GET /api/chat?customerId=2 200 in 423ms  GET /api/chat?customerId=2 200 in 390ms  GET /api/chat?customerId=2 200 in 346ms  GET /api/chat?customerId=2 200 in 332ms  POST /api/webhook 200 in 360ms"
14/1/2026, 10.02.06,Sheva,"masuk ga"
14/1/2026, 10.02.53,Saya,"masuk"
14/1/2026, 10.04.40,Saya,"iya"
14/1/2026, 10.08.04,Saya,"apaaaa"
14/1/2026, 10.08.55,Saya,"eror"
14/1/2026, 10.09.23,Saya,"aku gantteng ga"
14/1/2026, 10.09.29,Sheva,"gantengg"
14/1/2026, 10.10.28,Sheva,"gantengg"
14/1/2026, 10.24.48,Sheva,"p"
14/1/2026, 10.25.48,Sheva,"p"
14/1/2026, 10.36.17,Saya,"apa"
14/1/2026, 10.42.22,Saya,"HAH"
14/1/2026, 10.42.30,Sheva,"pie"
14/1/2026, 10.43.29,Sheva,"pie"
14/1/2026, 10.47.01,Sheva,"webh"
14/1/2026, 10.48.01,Sheva,"webh"
14/1/2026, 10.50.47,Sheva,"ayo"
14/1/2026, 10.51.47,Sheva,"ayo"
14/1/2026, 10.54.28,Sheva,"pi"
14/1/2026, 10.54.35,Sheva,"[Gambar]"
14/1/2026, 10.56.48,Sheva,"in"
14/1/2026, 10.57.38,Sheva,"p"
14/1/2026, 10.57.48,Sheva,"p"
14/1/2026, 10.58.45,Sheva,"ap"
14/1/2026, 10.58.56,Sheva,"ini"
14/1/2026, 11.00.16,Sheva,"apa"
14/1/2026, 11.00.19,Sheva,"[Gambar]"
14/1/2026, 11.01.33,Sheva,"apa shev"
14/1/2026, 11.01.40,Sheva,"ini libur sheva"
14/1/2026, 11.02.38,Sheva,"[Gambar]"
14/1/2026, 11.03.15,Sheva,"ya"
14/1/2026, 11.03.20,Sheva,"[Gambar]"
14/1/2026, 11.04.03,Sheva,"apa"
14/1/2026, 11.04.53,Sheva,"seperti ini?"
14/1/2026, 11.05.27,Sheva,"[Gambar]"
14/1/2026, 11.06.04,Sheva,"[Gambar]"
14/1/2026, 11.07.02,Sheva,"[Gambar]"
14/1/2026, 11.08.00,Sheva,"[Gambar]"
14/1/2026, 11.08.35,Sheva,"halo"
14/1/2026, 11.08.41,Sheva,"ini"
14/1/2026, 11.18.36,Saya,"[Gambar Terkirim]"
14/1/2026, 11.58.29,Sheva,"[Gambar]"
14/1/2026, 12.02.50,Sheva,"[Gambar]"
14/1/2026, 13.09.39,Saya,"hai"
14/1/2026, 13.17.40,Saya,"haii"
14/1/2026, 13.21.02,Saya,"halo"
14/1/2026, 14.23.09,Saya,"kok online kabeh"
14/1/2026, 14.23.27,Saya,"[Gambar Terkirim]"
15/1/2026, 09.02.00,Sheva,"ada apa"
15/1/2026, 09.02.07,Sheva,"loh"
15/1/2026, 09.06.57,Sheva,"apa"
15/1/2026, 09.21.19,Sheva,"sheva"
15/1/2026, 09.27.11,Sheva,"shevaa!!!"
15/1/2026, 09.30.01,Saya,"apa"
15/1/2026, 09.31.51,Saya,"iya"
15/1/2026, 09.35.52,Saya,"apaa"
15/1/2026, 09.38.09,Saya,"apiii"
15/1/2026, 09.51.28,Saya,"aman"
15/1/2026, 09.52.40,Sheva,"p"
15/1/2026, 09.52.49,Saya,"yoi"
15/1/2026, 09.53.34,Sheva,"hah"
15/1/2026, 09.54.26,Sheva,"[Pesan Lainnya]"
15/1/2026, 09.54.27,Sheva,"tlfn"
15/1/2026, 09.55.21,Sheva,"[LOG] Panggilan Masuk"
15/1/2026, 09.59.00,Sheva,"iya kah"
15/1/2026, 09.59.05,Saya,"iya"
15/1/2026, 09.59.14,Sheva,"[LOG] Panggilan Masuk"
15/1/2026, 10.25.24,Saya,"iyaa"
15/1/2026, 10.29.27,Saya,"uhuy"
15/1/2026, 10.32.40,Saya,"coba ya"
15/1/2026, 10.36.12,Saya,"bisa"
15/1/2026, 10.37.32,Saya,"[Gambar Terkirim]"
15/1/2026, 10.38.18,Saya,"yakah"
15/1/2026, 10.38.27,Sheva,"iyaa"
15/1/2026, 10.38.47,Sheva,"apaan"
15/1/2026, 10.41.06,Saya,"iyalah"
15/1/2026, 10.50.05,Saya,"[image]"
15/1/2026, 10.55.34,Saya,"[image]"
15/1/2026, 10.55.46,Saya,"[document]"
15/1/2026, 10.56.33,Saya,"[document]"
